
4 K 8 K,#genre#
CCTV4K-10m,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv4k_10m.m3u8$gaoma-10m
CCTV4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv4k.m3u8$gaoma
CCTV4K-SDR,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FG_CCTV-4K-HD.m3u8%3Flicense%3Dgitv$rptv-SDR
CCTV8K-36m,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv8k_36m.m3u8$gaoma-36m
CCTV8K-120m,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv8k_120m.m3u8$gaoma-120m
CCTV1-4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FG_CCTV-1-AVS-4K264.m3u8%3Flicense%3Dgitv$rptv
CCTV3-4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FG_CCTV-3-AVS-4K264.m3u8%3Flicense%3Dgitv$rptv
CCTV5-4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FG_CCTV-5-AVS-4K264.m3u8%3Flicense%3Dgitv$rptv
CCTV16-4K-10m,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv4k16_10m.m3u8$gaoma-10m
CCTV16-4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv4k16.m3u8$gaoma
CCTV16-4K-HEVC,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000008000023254.m3u8%3Fcdn%3Dbestzb$itv-HEVC
CCTV16-4K-SDR,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FG_CCTV-16-4K.m3u8%3Flicense%3Dgitv$rptv-SDR
华数-4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F6000000003000004748.m3u8%3Fcdn%3Dwasusyt$itv
纯享-4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000004000011651.m3u8%3Fcdn%3Dystenlive$itv
纯享4K-2,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2FHD-20M-2160P-chunxiang4k.m3u8%3Flicense%3Dcntv$rptv
咪咕4K-1,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F3000000010000005180.m3u8%3Fcdn%3DFifastbLive$itv
咪咕4K-2,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F3000000010000015686.m3u8%3Fcdn%3DFifastbLive$itv
篮球4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Frptv%2Fmiguaoyun01-AVS-4K01.m3u8%3Flicense%3Dgitv$rptv
Love Nature 4K,http://192.168.0.105:35456/jump?url=https%3A%2F%2Fd18dyiwu97wm6q.cloudfront.net%2Fplaylist2160p.m3u8$cloudfront
Loupe 4K,http://192.168.0.105:35456/jump?url=https%3A%2F%2Fd2dw21aq0j0l5c.cloudfront.net%2Fplaylist_3840x2160.m3u8$cloudfront
Fashion 4K,http://192.168.0.105:35456/jump?url=https%3A%2F%2Ffash2043.cloudycdn.services%2Fslive%2Fftv_ftv_4k_hevc_73d_42080_default_466_hls.smil%2Fplaylist.m3u8$slive
SiTV-欢笑剧场-4K,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000007000010001.m3u8%3Fcdn%3Dbestzb$itv
北京纪实科教8K,http://192.168.0.105:35456/jump?url=https%3A%2F%2Fgdcucc.v1.mk%2Fgdcucc%2Fbrtv8k.m3u8$gdcucc

央视频道,#genre#
CCTV1,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fgaoma%2Fcctv1.m3u8$gaoma-高码
